stop_id,level_id,stop_name,stop_lat,stop_lon,location_type,parent_station
1,,Stop 1,40.760167,-73.975224,1,
2,L0,Stop 2,40.760474,-73.976099,2,F12
3,L0,Stop 3,40.76035,-73.97546,2,F12
4,L0,Stop 4,40.760212,-73.975512,2,F12
5,L0,Stop 5,40.759612,-73.973731,2,F12
6,L0,Stop 6,40.759491,-73.973820,2,F12
7,L1,Stop 7,40.760457,-73.975912,3,F12
8,L1,Stop 8,40.760531,-73.976111,3,F12
10,L1,Stop 9,40.759679,-73.974064,3,F12
11,2S,Stop 10,40.760167,-73.975224,0,F12
12,L2,Stop 11,40.759746,-73.974203,4,F12S
13,L2,Stop 12,40.759828,-73.974442,4,F12S
14,,Stop 13,40.760167,-73.975224,0,F12
15,L3,Stop 14,40.760457,-73.975912,4,F12N
16,L3,Stop 15,40.760375,-73.975729,4,F12N
